id,location,density
PS-24-10-068,polyp,22448
PS-24-10-068,polyp,15306
PS-24-10-072,polyp,14285
PS-24-10-072,polyp,11224
PS-24-10-085,polyp,16326
PS-24-10-085,polyp,8163
PS-24-10-068,coenchyme,58333
PS-24-10-068,coenchyme,133334
PS-24-10-072,coenchyme,33342
PS-24-10-072,coenchyme,50000
PS-24-10-085,coenchyme,75000
PS-24-10-085,coenchyme,83333
